Year,Age,mean,median,q025,q975,q250,q750
1989,4,0.2153617796,0.2137445,0.048948843060972407,0.5293250062939338,0.12792025183901778,0.2976250049354651
1990,4,0.10079935245,0.09919905000000001,0.021698408968201653,0.30142375244400055,0.055081659614895404,0.13877299007628072
1991,4,0.1983074082,0.19674550000000002,0.048261799044675396,0.4722983828046109,0.1144547592300092,0.2578478904915237
1992,4,0.6758288949,0.676983,0.31203550003498787,0.8848971543764174,0.5309392126310389,0.7506697144429246
1993,4,0.16102164936,0.15944350000000002,0.03438833058483887,0.4417572333434346,0.0921150505210058,0.23167109563902796
1994,4,0.12219216376,0.120619,0.027237475205042865,0.35756052773494795,0.06892993047562894,0.16951090421076645
1995,4,0.1956512992,0.193886,0.04781164723095788,0.4639324099345101,0.11516556167571763,0.2571383941866189
1996,4,0.4590416491,0.4587475,0.15039115016194934,0.7491946637558623,0.3110010785224794,0.5479555078746952
1997,4,0.3603558646,0.358839,0.10220095000803682,0.6709872179166555,0.23333841204526057,0.44836029234108166
1998,4,0.5074863466,0.5079659999999999,0.17306400210238165,0.7898334355585657,0.3557768625765426,0.6002308868923182
1999,4,0.4473072948,0.4470385,0.1339319979132914,0.7584938349607323,0.30086507020044645,0.5433844259293478
2000,4,0.18175616617,0.18016949999999998,0.044149835061193056,0.4630380064908119,0.10542319601041832,0.24342600512873655
2001,4,0.3334577058,0.332934,0.09297921670231228,0.64053789156877206,0.21143237798725978,0.414926716157116
2002,4,0.3802079564,0.379274,0.1124273689259982,0.6807262350296843,0.24632508600503394,0.468195911196664
2003,4,0.2837094233,0.2823,0.07545244894168866,0.5873967447881858,0.172940998003124,0.3578086483229297
2004,4,0.5085846094,0.509047,0.1766250736879926,0.7898577651808965,0.3557326935375091,0.5958599470547216
2005,4,0.1524477282,0.150979,0.03464896658763457,0.40294550203529067,0.08644715893737343,0.207421969894856
2006,4,0.2703439866,0.26855300000000004,0.06824021976488209,0.5673877612464281,0.16434624797660005,0.33953116445432785
2007,4,0.315695357,0.31492600000000004,0.08668698583774932,0.6284427559087093,0.19573326916765432,0.3969169284325132
2008,4,0.370266395,0.3695975,0.109198552625697,0.6823775149870919,0.2397677796186553,0.45530419893433616
2009,4,0.3861198011,0.3853335,0.1159789541249487,0.6941806885193753,0.2511808015582413,0.47502944933525043
2010,4,0.3166173238,0.3154345,0.08567487720274716,0.6281027919894381,0.19707006215170764,0.39901955485916
2011,4,0.3196458486,0.318372,0.08596095785109388,0.6237884428704956,0.1987310351645774,0.3988042307821371
2012,4,0.1919736175,0.190786,0.046093998935573,0.46618491837247344,0.1110874028164604,0.2534926163755433
2013,4,0.17786642536,0.176423,0.04253912658057434,0.430233095286439,0.10064643100249729,0.22968919059043816
2014,4,0.3897789948,0.389416,0.1129947988829079,0.6927428658657272,0.25231939009279597,0.4763803512109959
2015,4,0.10743977169,0.105782,0.024151590131567043,0.30186730265611694,0.05912107370376512,0.14413817501762993
2016,4,0.6802892736,0.6817915,0.3033836587577187,0.8828579621852906,0.5328138074527302,0.7510788358728883
2017,4,0.17201261352,0.16931200000000002,0.03808724222127484,0.45751650132300337,0.098910215413241645,0.23998074191522653
2018,4,0.4793575666,0.47941049999999996,0.15182676212874024,0.7772067072971508,0.3259276348621842,0.572913199694307
1980,5,0.14678450444,0.1428915,0.02674433921857393,0.4657173026758211,0.07994082594534277,0.2283272614906603
1981,5,0.5844075636,0.585054,0.2142864162601755,0.8620198476246226,0.43471017703571857,0.6920324117192916
1982,5,0.3073004624,0.3062275,0.07833546437244637,0.6434435577324494,0.19125778093738816,0.4052293220395204
1983,5,0.08465071486,0.0833133,0.01849835381341346,0.2459949748355842,0.04577483159876944,0.11534521719803642
1984,5,0.14571497808,0.144151,0.030740434528355533,0.40725790066096446,0.08313180093967962,0.2074105745962433
1985,5,0.4299781321,0.4297665,0.12888748681271214,0.7414722326212037,0.2891294419730507,0.5311426079529862
1986,5,0.3109328814,0.3099595,0.08388402972048659,0.6199678177455092,0.19552909554898518,0.3913179127586613
1987,5,0.12091605585,0.1197815,0.026962867166677222,0.3286358311052906,0.06697279371277508,0.16099608612295335
1988,5,0.15734669802,0.15584150000000002,0.03285759200170707,0.43667040813660746,0.08912685735428073,0.22440907727780604
1989,5,0.5576474236,0.5580579999999999,0.20572120275180616,0.8252149742120279,0.40337997102069084,0.6465350730555147
1990,5,0.2298823572,0.2284365,0.055991505091825516,0.5340080687237206,0.13700413421370763,0.3045028009669648
1991,5,0.07933026914,0.07822205,0.017521086978539432,0.23598517935209098,0.04345995933873233,0.10518995997446687
1992,5,0.09054178714,0.08925155,0.018070485501770144,0.297932034952877,0.05005846268150677,0.13298531769395538
1993,5,0.6166363768,0.6174985,0.2479710834359464,0.8568609161612434,0.4641535253092651,0.701879345243574
1994,5,0.17189741875,0.1705045,0.038777166709779425,0.44108905729692444,0.09918081330905153,0.23475362733327604
1995,5,0.11198210477,0.11062,0.025762192821299323,0.3190999615173406,0.06240655775202015,0.14959952977617574
1996,5,0.12498599196,0.12355250000000001,0.025841189636861224,0.3511500460366227,0.06983912182540444,0.17311794251273097
1997,5,0.290510831,0.289583,0.0776303146958535,0.5969988078652676,0.1793821498178823,0.37195348583965737
1998,5,0.19172582671,0.1899035,0.04379552612395723,0.4813303988820835,0.1105698376503394,0.259615508365068
1999,5,0.3276444076,0.3267405,0.08427694518016553,0.6606624539137083,0.20535558314808233,0.4245868921001399
2000,5,0.3994034864,0.398505,0.12332123292763335,0.708413772086756,0.2617405251489444,0.48986557912857964
2001,5,0.14180061914,0.1404515,0.0317357877107148,0.3723615998345612,0.07881661744328458,0.18745960456059013
2002,5,0.2403020216,0.239279,0.05744588308154962,0.5361308855727791,0.1443068933569865,0.3122200302062031
2003,5,0.2826266283,0.2816525,0.07473927423683073,0.5829312464646336,0.17312114087771013,0.3565495744099367
2004,5,0.17753261324,0.1756665,0.03860456764411709,0.4571801295794501,0.10203016177267997,0.2410352418731916
2005,5,0.4720632249,0.4726395,0.15999332852008258,0.7579584139326146,0.32309462315847043,0.55771737886021
2006,5,0.1331871646,0.131709,0.030563207617490092,0.363933288885511,0.07533419516890222,0.18000398255865577
2007,5,0.2111546753,0.2095075,0.051428473870879995,0.48796213142698713,0.12196807953048185,0.273763013202198
2008,5,0.2237560295,0.2225815,0.05412544234589896,0.5184653429597263,0.1315260421252169,0.2928277901093317
2009,5,0.2604959633,0.25894249999999996,0.06455688265787615,0.5677909939361744,0.1575862923388496,0.34113066297703337
2010,5,0.2998363867,0.298169,0.07902396469651747,0.6085472362603367,0.18695917999652786,0.37862276892130803
2011,5,0.2591131167,0.258027,0.0664011068465283,0.5586739976696379,0.15686318708478553,0.3348573425144257
2012,5,0.3053607645,0.30433750000000004,0.08291133159023797,0.6038510734851807,0.1885572090531165,0.38108868919129024
2013,5,0.18268743683,0.181618,0.04361439147797254,0.4407744214243143,0.10571038187345969,0.2380472650584538
2014,5,0.14034003087,0.13884649999999998,0.030413204337151268,0.37524125029357797,0.07846301208692977,0.19089359424528543
2015,5,0.3209677924,0.320167,0.08875356593489103,0.6333352524918701,0.20233277936745103,0.39940301119131266
2016,5,0.04877127721,0.04780665,0.00972837792013685,0.1756843800348853,0.02650328846346686,0.07254769575712593
2017,5,0.5247341181,0.5250945,0.18461317025706486,0.7978314290099856,0.3684798598206462,0.610432445400093
2018,5,0.0849685651,0.08298385,0.01794024839103997,0.2641780071656281,0.046524554092009444,0.11783926342253839
1980,6,0.0149201791833,0.01417205,0.002192920478173447,0.07036527532355685,0.007134345428745623,0.023197748471109458
1981,6,0.08462781987,0.08229965,0.015927985851430872,0.2845915242094357,0.04472718637632214,0.12452181871403334
1982,6,0.4526685545,0.452313,0.13894026034044485,0.7623389593066403,0.3044242126564666,0.5495505804372813
1983,6,0.17301887632,0.17181000000000002,0.040609736791441114,0.43372551611183036,0.09778187504616577,0.2262723742093201
1984,6,0.0321180506,0.0314325,0.0062767931441139995,0.11477500403358884,0.01692212329714089,0.046094385224761364
1985,6,0.08180069875,0.08064855,0.017920013628479104,0.26069012662227126,0.04488083078885255,0.11533709382951764
1986,6,0.2971656782,0.296204,0.07721014317113892,0.6078602064969842,0.1854297205414259,0.3752451869905295
1987,6,0.15390402525,0.15271200000000001,0.03660179630734972,0.39277483864941354,0.08787588947165609,0.2031403157289511
